Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1115757,DOG,GERM SHEPHERD,DC 26,RELEASED FROM QUARANTINE,CONFISCATED,QUARANTINE,OTHRINTAKS,2021-03-08,APP INJ,RETURNED TO OWNER,2021-03-20
A1116274,DOG,BLACK MOUTH CUR,LFD 058,UNAVAILABLE,OWNER SURRENDER,FIELD,PERSNLISSU,2021-03-17,APP WNL,ADOPTION,2021-03-20
A1021817,DOG,PIT BULL,AD 003,UNAVAILABLE,TRANSFER,ALUMNI,OTHRINTAKS,2021-03-09,APP WNL,ADOPTION,2021-03-20
A1121499,BIRD,OWL,LAB 12,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2021-05-28,APP INJ,EUTHANIZED,2021-05-28
A1115896,DOG,ST BERNARD RGH,AD 060,UNAVAILABLE,STRAY,CONFINED,OTHER,2021-03-10,APP WNL,ADOPTION,2021-03-20
A1126599,DOG,GREAT PYRENEES,DC 22,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-08-01,APP WNL,ADOPTION,2021-08-03
A1119018,DOG,BICHON FRISE,096028-06,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2021-04-29,APP WNL,RETURNED TO OWNER,2021-04-29
A1118759,DOG,LABRADOR RETR,FREEZER,UNAVAILABLE,CONFISCATED,QUARANTINE,OTHRINTAKS,2021-04-24,APP WNL,EUTHANIZED,2021-04-29
A1118999,DOG,LABRADOR RETR,INJD 016,UNAVAILABLE,OWNER SURRENDER,FIELD,FINANCIAL,2021-04-28,APP INJ,TRANSFER,2021-04-29
A1124673,DOG,GERM SHEPHERD,AD 031,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2021-07-05,APP WNL,ADOPTION,2021-07-13
A1117528,DOG,LABRADOR RETR,PSDOG 16,UNAVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-04-06,APP WNL,ADOPTION,2021-04-14
A1126509,DOG,GERM SHEPHERD,NMOMS 3,AVAILABLE,OWNER SURRENDER,URGENT,FINANCIAL,2021-07-30,APP WNL,ADOPTION,2021-08-03
A1123949,WILDLIFE,GUINEA PIG,VIP03,AVAILABLE,OWNER SURRENDER,APPOINT,HOUSING,2021-06-27,APP WNL,ADOPTION,2021-06-27
A1117100,WILDLIFE,OPOSSUM,206010-01,UNAVAILABLE,WILDLIFE,NON-RABIES,OTHRINTAKS,2021-03-31,UNDERAGE,EUTHANIZED,2021-03-31
A1097922,DOG,LABRADOR RETR,AD 036,UNAVAILABLE,STRAY,AT LARGE,OTHER,2021-04-19,APP WNL,ADOPTION,2021-04-29
A1113509,DOG,MALTESE,LFSD 19,UNAVAILABLE,OWNER SURRENDER,APPOINT,NOTRIGHTFT,2021-04-12,APP WNL,ADOPTION,2021-04-14
A1126861,DOG,LABRADOR RETR,VIP07,AVAILABLE,STRAY,CONFINED,OTHRINTAKS,2021-08-05,APP INJ,OTHER,
