Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1161074,CAT,DOMESTIC SH,K14,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-29,APP WNL,TRANSFER,2022-11-02
A1160292,DOG,MIXED BREED,VIP09,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-18,APP WNL,ADOPTION,2022-11-12
A1154170,DOG,MIXED BREED,VIP23,EU RISK,OWNER SURRENDER,APPOINT,BEHAVIOR,2022-11-01,APP WNL,ADOPTION,2022-11-26
A1162770,DOG,MIXED BREED,LAB 03,LAB,KEEPSAFE,OWN ARREST,OTHRINTAKS,2022-11-20,APP WNL,EUTHANIZED,2023-01-19
A1161863,DOG,MIXED BREED,AD 042,LAB,STRAY,AT LARGE,OTHRINTAKS,2022-11-08,APP WNL,EUTHANIZED,2022-12-01
A1167293,DOG,GERM SHEPHERD,LOST,IMPOUNDED,STRAY,WEB,,2023-01-18,NORMAL,LOST EXP,2023-02-21
A1163135,DOG,ROTTWEILER,186036-05,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2022-12-30,APP WNL,RETURNED TO OWNER,2022-12-30
A1160971,DOG,MIXED BREED,LFD 118,EU RISK,STRAY,AT LARGE,OTHRINTAKS,2022-10-27,APP WNL,RETURNED TO OWNER,2022-10-29
A1161223,CAT,DOMESTIC SH,AC 043,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-10-31,APP WNL,ADOPTION,2022-11-02
A1165949,CAT,DOMESTIC SH,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHER,2023-01-03,APP INJ,EUTHANIZED,2023-01-03
A1154985,CAT,DOMESTIC MH,CC 32,UNAVAILABLE,TREATMENT,SPAY/NEUT,OTHER,2022-10-10,APP WNL,TREATMENT,2022-10-10
A1164636,DOG,MIXED BREED,CC 06,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-17,APP WNL,ADOPTION,2022-12-21
A1162148,CAT,DOMESTIC MH,FOSTER,AVAILABLE,FOSTER,APPOINT,PERSNLISSU,2022-11-24,APP WNL,FOSTER,2022-11-24
A1167710,DOG,GERM SHEPHERD,196005-01,IMPOUNDED,STRAY,AT LARGE,OTHRINTAKS,2023-01-26,APP WNL,RETURNED TO OWNER,2023-01-26
A1158334,CAT,DOMESTIC SH,F1,AVAILABLE,FOSTER,APPOINT,FOR ADOPT,2022-11-15,APP WNL,ADOPTION,2022-11-15
A1163871,CAT,SIAMESE,LFC 003,EU RISK,STRAY,CONFINED,OTHRINTAKS,2022-12-05,APP SICK,ADOPTION,2022-12-11
